SB 13BB
Hand,OS,OR,CALL,FOLD
3c2c,0,0,100,0
3c2d,0,0,0,100
3c2h,0,0,0,100
3c2s,0,0,0,100
4c2c,0,0,100,0
4c3c,0,0,100,0
4c2d,0,0,0,100
4c3d,0,0,75,25
4c2h,0,0,0,100
4c3h,0,0,75,25
4c2s,0,0,0,100
4c3s,0,0,75,25
5c2c,0,0,100,0
5c3c,0,0,100,0
5c4c,0,0,100,0
5c2d,0,0,50,50
5c3d,0,0,100,0
5c4d,0,25,75,0
5c2h,0,0,50,50
5c3h,0,0,100,0
5c4h,0,25,75,0
5c2s,0,0,50,50
5c3s,0,0,100,0
5c4s,0,25,75,0
6c2c,0,25,75,0
6c3c,0,25,75,0
6c4c,0,0,100,0
6c5c,25,0,75,0
6c2d,0,0,0,100
6c3d,0,0,100,0
6c4d,0,0,100,0
6c5d,0,25,75,0
6c2h,0,0,0,100
6c3h,0,0,100,0
6c4h,0,0,100,0
6c5h,0,25,75,0
6c2s,0,0,0,100
6c3s,0,0,100,0
6c4s,0,0,100,0
6c5s,0,25,75,0
7c2c,0,0,100,0
7c3c,0,25,75,0
7c4c,0,0,100,0
7c5c,0,0,100,0
7c6c,50,0,50,0
7c2d,0,0,0,100
7c3d,0,0,25,75
7c4d,0,0,100,0
7c5d,0,0,100,0
7c6d,0,0,100,0
7c2h,0,0,0,100
7c3h,0,0,25,75
7c4h,0,0,100,0
7c5h,0,0,100,0
7c6h,0,0,100,0
7c2s,0,0,0,100
7c3s,0,0,25,75
7c4s,0,0,100,0
7c5s,0,0,100,0
7c6s,0,0,100,0
8c2c,0,0,100,0
8c3c,0,25,75,0
8c4c,0,50,50,0
8c5c,0,0,100,0
8c6c,0,0,100,0
8c7c,75,25,0,0
8c2d,0,0,0,100
8c3d,0,0,50,50
8c4d,0,0,100,0
8c5d,0,0,100,0
8c6d,0,0,100,0
8c7d,0,0,100,0
8c2h,0,0,0,100
8c3h,0,0,50,50
8c4h,0,0,100,0
8c5h,0,0,100,0
8c6h,0,0,100,0
8c7h,0,0,100,0
8c2s,0,0,0,100
8c3s,0,0,50,50
8c4s,0,0,100,0
8c5s,0,0,100,0
8c6s,0,0,100,0
8c7s,0,0,100,0
9c2c,0,25,75,0
9c3c,0,25,75,0
9c4c,0,50,50,0
9c5c,0,0,100,0
9c6c,0,0,100,0
9c7c,25,0,75,0
9c8c,0,25,75,0
9c2d,0,0,80,20
9c3d,0,0,100,0
9c4d,0,0,100,0
9c5d,0,25,75,0
9c6d,0,25,75,0
9c7d,0,25,75,0
9c8d,0,0,100,0
9c2h,0,0,80,20
9c3h,0,0,100,0
9c4h,0,0,100,0
9c5h,0,25,75,0
9c6h,0,25,75,0
9c7h,0,25,75,0
9c8h,0,0,100,0
9c2s,0,0,80,20
9c3s,0,0,100,0
9c4s,0,0,100,0
9c5s,0,25,75,0
9c6s,0,25,75,0
9c7s,0,25,75,0
9c8s,0,0,100,0
Tc2c,0,0,100,0
Tc3c,0,25,75,0
Tc4c,0,0,100,0
Tc5c,0,25,75,0
Tc6c,0,0,100,0
Tc7c,0,0,100,0
Tc8c,0,25,75,0
Tc9c,0,25,75,0
Tc2d,0,0,100,0
Tc3d,0,0,100,0
Tc4d,0,0,100,0
Tc5d,0,0,100,0
Tc6d,0,25,75,0
Tc7d,0,25,75,0
Tc8d,0,25,75,0
Tc9d,0,0,100,0
Tc2h,0,0,100,0
Tc3h,0,0,100,0
Tc4h,0,0,100,0
Tc5h,0,0,100,0
Tc6h,0,25,75,0
Tc7h,0,25,75,0
Tc8h,0,25,75,0
Tc9h,0,0,100,0
Tc2s,0,0,100,0
Tc3s,0,0,100,0
Tc4s,0,0,100,0
Tc5s,0,0,100,0
Tc6s,0,25,75,0
Tc7s,0,25,75,0
Tc8s,0,25,75,0
Tc9s,0,0,100,0
Jc2c,0,0,100,0
Jc3c,0,0,100,0
Jc4c,0,0,100,0
Jc5c,0,0,100,0
Jc6c,0,0,100,0
Jc7c,0,0,100,0
Jc8c,0,0,100,0
Jc9c,0,25,75,0
JcTc,0,25,75,0
Jc2d,0,0,100,0
Jc3d,0,0,100,0
Jc4d,0,0,100,0
Jc5d,0,25,75,0
Jc6d,0,25,75,0
Jc7d,0,25,75,0
Jc8d,0,25,75,0
Jc9d,0,0,100,0
JcTd,0,0,100,0
Jc2h,0,0,100,0
Jc3h,0,0,100,0
Jc4h,0,0,100,0
Jc5h,0,25,75,0
Jc6h,0,25,75,0
Jc7h,0,25,75,0
Jc8h,0,25,75,0
Jc9h,0,0,100,0
JcTh,0,0,100,0
Jc2s,0,0,100,0
Jc3s,0,0,100,0
Jc4s,0,0,100,0
Jc5s,0,25,75,0
Jc6s,0,25,75,0
Jc7s,0,25,75,0
Jc8s,0,25,75,0
Jc9s,0,0,100,0
JcTs,0,0,100,0
Qc2c,0,0,100,0
Qc3c,0,0,100,0
Qc4c,0,0,100,0
Qc5c,0,0,100,0
Qc6c,0,0,100,0
Qc7c,0,0,100,0
Qc8c,75,0,25,0
Qc9c,0,0,100,0
QcTc,0,0,100,0
QcJc,0,0,100,0
Qc2d,0,0,100,0
Qc3d,0,0,100,0
Qc4d,0,0,100,0
Qc5d,0,25,75,0
Qc6d,0,25,75,0
Qc7d,0,25,75,0
Qc8d,0,25,75,0
Qc9d,0,0,100,0
QcTd,0,25,75,0
QcJd,0,25,75,0
Qc2h,0,0,100,0
Qc3h,0,0,100,0
Qc4h,0,0,100,0
Qc5h,0,25,75,0
Qc6h,0,25,75,0
Qc7h,0,25,75,0
Qc8h,0,25,75,0
Qc9h,0,0,100,0
QcTh,0,25,75,0
QcJh,0,25,75,0
Qc2s,0,0,100,0
Qc3s,0,0,100,0
Qc4s,0,0,100,0
Qc5s,0,25,75,0
Qc6s,0,25,75,0
Qc7s,0,25,75,0
Qc8s,0,25,75,0
Qc9s,0,0,100,0
QcTs,0,25,75,0
